"Works Package","Description (Inclusions & Exclusions)"
"9.2.14 - Insurance, bonds, guarantees and warranties","Context: Belongs to Group Element: 'Main contractor's preliminaries' -> Element: 'Main contractor's cost items'. Scope: Includes materials and labour for Insurance, bonds, guarantees and warranties."
"11.1.1 - Project team and design team consultants' fees","Context: Belongs to Group Element: 'Project and design team fees' -> Element: 'Consultants' fees'. Scope: Includes materials and labour for Project team and design team consultants' fees."
"11.1.2 - Other consultants' fees","Context: Belongs to Group Element: 'Project and design team fees' -> Element: 'Consultants' fees'. Scope: Includes materials and labour for Other consultants' fees."
"11.1.3 - Site investigation fees","Context: Belongs to Group Element: 'Project and design team fees' -> Element: 'Consultants' fees'. Scope: Includes materials and labour for Site investigation fees."
"11.1.4 - Specialist support consultants' fees","Context: Belongs to Group Element: 'Project and design team fees' -> Element: 'Consultants' fees'. Scope: Includes materials and labour for Specialist support consultants' fees."
"11.2.1 - Management and staff fees","Context: Belongs to Group Element: 'Project and design team fees' -> Element: 'Main contractor's pre-construction fees'. Scope: Includes materials and labour for Management and staff fees."
"11.2.2 - Specialist support service fees","Context: Belongs to Group Element: 'Project and design team fees' -> Element: 'Main contractor's pre-construction fees'. Scope: Includes materials and labour for Specialist support service fees."
"11.2.3 - Temporary accommodation, services and facilities charges","Context: Belongs to Group Element: 'Project and design team fees' -> Element: 'Main contractor's pre-construction fees'. Scope: Includes materials and labour for Temporary accommodation, services and facilities charges."
"11.2.4 - Main contractor's overheads and profit","Context: Belongs to Group Element: 'Project and design team fees' -> Element: 'Main contractor's pre-construction fees'. Scope: Includes materials and labour for Main contractor's overheads and profit."
"11.3.1 - Fees for main contractor's design consultants","Context: Belongs to Group Element: 'Project and design team fees' -> Element: 'Main contractor's design fees'. Scope: Includes materials and labour for Fees for main contractor's design consultants."
"12.1.1 - Land acquisition costs","Context: Belongs to Group Element: 'Other project costs' -> Element: 'Other project costs'. Scope: Includes materials and labour for Land acquisition costs."
"12.1.2 - Employer finance","Context: Belongs to Group Element: 'Other project costs' -> Element: 'Other project costs'. Scope: Includes materials and labour for Employer finance."
"12.1.3 - Fees","Context: Belongs to Group Element: 'Other project costs' -> Element: 'Other project costs'. Scope: Includes materials and labour for Fees."
"12.1.4 - Charges","Context: Belongs to Group Element: 'Other project costs' -> Element: 'Other project costs'. Scope: Includes materials and labour for Charges."
"12.1.5 - Planning contributions","Context: Belongs to Group Element: 'Other project costs' -> Element: 'Other project costs'. Scope: Includes materials and labour for Planning contributions."
"12.1.6 - Insurances","Context: Belongs to Group Element: 'Other project costs' -> Element: 'Other project costs'. Scope: Includes materials and labour for Insurances."
"12.1.7 - Archaeological fieldwork","Context: Belongs to Group Element: 'Other project costs' -> Element: 'Other project costs'. Scope: Includes materials and labour for Archaeological fieldwork."
"12.1.8 - Other specialist fieldwork","Context: Belongs to Group Element: 'Other project costs' -> Element: 'Other project costs'. Scope: Includes materials and labour for Other specialist fieldwork."
"12.1.9 - Decanting and relocation costs","Context: Belongs to Group Element: 'Other project costs' -> Element: 'Other project costs'. Scope: Includes materials and labour for Decanting and relocation costs."
"12.1.10 - Fittings, furnishings and equipment","Context: Belongs to Group Element: 'Other project costs' -> Element: 'Other project costs'. Scope: Includes materials and labour for Fittings, furnishings and equipment."
"12.1.11 - Tenant's costs/contributions","Context: Belongs to Group Element: 'Other project costs' -> Element: 'Other project costs'. Scope: Includes materials and labour for Tenant's costs/contributions."
"12.1.12 - Marketing costs","Context: Belongs to Group Element: 'Other project costs' -> Element: 'Other project costs'. Scope: Includes materials and labour for Marketing costs."
"12.1.13 - Other employer costs","Context: Belongs to Group Element: 'Other project costs' -> Element: 'Other project costs'. Scope: Includes materials and labour for Other employer costs."
